platform,platform_id,name,country,rating,students,sessions,youtube_url,is_pro,prospect_score,profile_url,headline
"italki","7045755","GEORGES  戈麦斯","CD","5","1030","5869","https://www.youtube.com/watch?v=cgo8jkmkCIU","false","90","https://www.italki.com/en/teacher/7045755","French Native Speaker | 5+ years experience |  Test prep (TEF/TCF/DELF) | Conversation | Beginners"
"italki","26034621","James ⭐⭐⭐⭐⭐","US","5","352","1330","https://www.youtube.com/watch?v=pqajqIcyRUg","true","90","https://www.italki.com/en/teacher/26034621","🇺🇸 Certified English Teacher | 💬 Business & Conversational | 💯 IELTS, TOEFL | 🤝 Interview Prep"
"italki","7651912","Ken 鈴木 健","JP","5","1077","5417","https://www.youtube.com/watch?v=7SeCUb6jHMc","false","90","https://www.italki.com/en/teacher/7651912","Relaxed, soft-spoken, detailed. 平易近人，轻松，详细  2023日本語教育能力検定試験合格"
"italki","5730604","Christine","US","5","257","2555","https://www.youtube.com/watch?v=OsBT8GjMF0A","true","90","https://www.italki.com/en/teacher/5730604","Certified TEFL teacher with more than 10 years of experience"
"italki","10088566","Alecia","ZA","5","132","2618","https://www.youtube.com/watch?v=VSXniLzNyr4","true","90","https://www.italki.com/en/teacher/10088566","🔖Certified TEFL teacher with more than 8 years English Language teaching and 15 years Kindergarten"
"italki","5644705","Joy Sasiwimon","TH","5","634","8671","https://www.youtube.com/watch?v=tUjmzjtxi4w","false","90","https://www.italki.com/en/teacher/5644705","Learn Thai with Joy (Fun and Practical)"
"italki","9459794","Elena Wang","CN","5","107","1793","https://www.youtube.com/watch?v=sUVJrFL-Duw","true","90","https://www.italki.com/en/teacher/9459794","✨ EXPLORING CHINESE TOGETHER  • 8+ Years • English | Русский"
"italki","8049255","Jahdai González 🔥","MX","5","1773","14789","https://www.youtube.com/watch?v=G6Qu1N4sSAA","false","90","https://www.italki.com/en/teacher/8049255","Let’s craf t a plan for your needs | Fluency Guaranteed | Speak clearly & confidently | 14k+ lessons"
"italki","10446303","Yoshi Shimizu","JP","5","518","5716","https://www.youtube.com/watch?v=k-NyszjqcqI","false","90","https://www.italki.com/en/teacher/10446303","Native Japanese, fluent in English. Great communication skills and international cultural knowledge."
"italki","8749999","Юлия Yuliya","BY","5","120","2346","https://www.youtube.com/watch?v=7VQgIjVoVwM","true","90","https://www.italki.com/en/teacher/8749999","Делаю трудное лёгким 😉 tu tutora de confianza *работаю со студентами и школьниками от 13 лет"
"italki","7033266","Carl","TW","5","830","10285","https://www.youtube.com/watch?v=x_2GyZWKUuA","false","90","https://www.italki.com/en/teacher/7033266","sông kah ū tshun ê tâi-gí lāu-su 倯甲有賰的台語老師"
"italki","5684755","Vladana","RS","5","301","3295","https://www.youtube.com/watch?v=kayvAeay3C8","true","90","https://www.italki.com/en/teacher/5684755","Let's create together an effective learning methodology according to your goals and objectives!"
"italki","7010887","Camila Ramos","MX","5","1237","9914","https://www.youtube.com/watch?v=rmry-D6kKGs","false","90","https://www.italki.com/en/teacher/7010887",""
"italki","6375264","Mark Hawkins","GB","5","237","1315","https://www.youtube.com/watch?v=W0QAYe2KjF0","true","90","https://www.italki.com/en/teacher/6375264","CELTA certified English teacher with six years experience."
"italki","9778364","☀️Camille☀️","FR","5","815","5589","https://www.youtube.com/watch?v=55F8r_ddulk","false","90","https://www.italki.com/en/teacher/9778364","🌸 Fun and lively French lessons – learn with a smile! 🥳☀️"
"italki","11657961","Kendra Kouosso","CM","5","933","5923","https://www.youtube.com/watch?v=2Bo_Z9IkHM8","false","90","https://www.italki.com/en/teacher/11657961","spontaneous, dynamic and enthusiastic tutor who loves teaching"
"italki","11395902","Birger","US","5","208","2281","https://www.youtube.com/watch?v=t_xM1UYlpEU","true","90","https://www.italki.com/en/teacher/11395902","Professional and Experienced Teacher with a Passion for Swedish."
"italki","11032464","🌟Mr Sekimi TCF/TEF","FR","5","1180","10465","https://www.youtube.com/watch?v=U_XI5rSLlbs","false","90","https://www.italki.com/en/teacher/11032464","🌟🤓💐 From A0 ➡️ B1 in 20 hours lessons ! 🌟🤓💐 COMPLETE beginner accepted 🌟🤓💐"
"italki","8278404","Antony Vilchez","PE","4.9","3410","12049","https://www.youtube.com/watch?v=z8tK72YtvXY","false","90","https://www.italki.com/en/teacher/8278404","Spanish Teacher From Lima 🇵🇪 | Clear Accent 🗣 | Using Comprehensible Input 🧠✨"
"italki","3359025","Daniel","DE","5","3264","13354","https://www.youtube.com/watch?v=3I2kAa5vMXY","false","90","https://www.italki.com/en/teacher/3359025","🇩🇪 Lessons on Sale! Easy-going! 12k+ lessons taught and 8+ years of experience. See you soon! 🇩🇪"
"italki","5327255","Mayuna","JP","5","497","4213","https://www.youtube.com/watch?v=xLs5N5OwrdA","true","90","https://www.italki.com/en/teacher/5327255",""
"italki","4293242","Véronique","FR","5","676","13328","https://www.youtube.com/watch?v=717WN2_a8i0","false","90","https://www.italki.com/en/teacher/4293242",""
"italki","10595196","Doug Hiltz","CA","5","561","5112","https://www.youtube.com/watch?v=RcO9U_LOueM","false","90","https://www.italki.com/en/teacher/10595196","TEFL Certified.   Conversational English/Pronunciation.  IELTS Speaking Preparation."
"italki","8563067","Mansour","DZ","5","508","5909","https://www.youtube.com/watch?v=mj6RgEMyCME","false","90","https://www.italki.com/en/teacher/8563067","""If you ain't first, you're last""  is my motto, no excuses."
"italki","9290502","John","US","5","1042","8708","https://www.youtube.com/watch?v=lg6RjfcgQh4","false","90","https://www.italki.com/en/teacher/9290502","Native English speaker with a science background"
"italki","3137469","Panagiota","GR","5","242","3990","https://www.youtube.com/watch?v=xq63yCsOBy4","true","90","https://www.italki.com/en/teacher/3137469",""
"italki","2867718","Marco","IT","5","558","7271","https://www.youtube.com/watch?v=pKuHnZOpsNE","false","90","https://www.italki.com/en/teacher/2867718",""
"italki","9105965","Happy Machona","ZM","5","305","2850","https://www.youtube.com/watch?v=5R4xyTIAOII","true","90","https://www.italki.com/en/teacher/9105965","TEFL Certified tutor with a friendly and patient learning environment!"
"italki","2404952","Maria","CH","5","224","1088","https://www.youtube.com/watch?v=7M-tvJftr90","true","90","https://www.italki.com/en/teacher/2404952","Learning a language should be fun!"
"italki","7703809","Kaori-jan","JP","5","179","2773","https://www.youtube.com/watch?v=ZKi2-OELjBY","true","90","https://www.italki.com/en/teacher/7703809",""
"italki","6497481","Diego Gonzalez","CO","4.9","783","5556","https://www.youtube.com/watch?v=kXBhHs1PEhU","false","90","https://www.italki.com/en/teacher/6497481","Colombian Native English Speaker with over 9 years of experience"
"italki","7155462","Mai  Ehsan","EG","5","169","1846","https://www.youtube.com/watch?v=dMe4kaPUrA0","true","90","https://www.italki.com/en/teacher/7155462","Certified Arabic teacher with over 15 years of teaching experience"
"italki","4119769","Lena","RU","5","530","7538","https://www.youtube.com/watch?v=1pvfcIvQBT0","false","90","https://www.italki.com/en/teacher/4119769",""
"italki","4687910","Jin Lee","KR","5","185","3495","https://www.youtube.com/watch?v=NM5dBASMi80","true","90","https://www.italki.com/en/teacher/4687910","✅Knowing the basics well is key to being good at anything, including languages."
"italki","8479272","Romain","FR","5","601","7602","https://www.youtube.com/watch?v=Ex0SSTtSkdY","false","90","https://www.italki.com/en/teacher/8479272","DELF/TEF/TCF/Naturalization -- or let's talk Finance, Travel, Geopolitics, Health, Arts, etc"
"italki","7221442","Camila Oliveira","BR","5","233","2115","https://www.youtube.com/watch?v=wzgYsWCO6O8","true","90","https://www.italki.com/en/teacher/7221442","Portuguese That Actually Gets You Speaking 🇧🇷 | Slang, Fluency & Conversation"
"italki","14617019","Ritu R ऋतु 🏆","IN","5","419","2888","https://www.youtube.com/watch?v=NOv6uLxNtPE","true","90","https://www.italki.com/en/teacher/14617019","🥇 Professional | Certified | Guaranteed Progress | Kids & Adults | 💬 24/7 Support"
"italki","7963347","Nouhaila","MA","5","690","6510","https://www.youtube.com/watch?v=66UDGVoW6Ao","false","90","https://www.italki.com/en/teacher/7963347","Cours dynamique et chaleureux pour améliorer votre conversation en français."
"italki","9625421","Jin 진 ジン","KR","5","254","2939","https://www.youtube.com/watch?v=cwLabgrQa7M","true","90","https://www.italki.com/en/teacher/9625421","Comfortable and relaxed 🌱 Welcome Beginner Students!"
"italki","2691269","Sofia Bahos","CO","5","1262","11018","https://www.youtube.com/watch?v=THFG-COPYik","false","90","https://www.italki.com/en/teacher/2691269","Fun, creative and experienced tutor with a 7 years of experience on italki"
